"220",305834,"65 Thirteenth Avenue Tauranga South Tauranga 3112"
"221",305835,"339 Ravensbourne Road Ravensbourne Dunedin 9022"
"222",305838,"2 Babsie Road Ravensbourne Dunedin 9022"
"223",305839,"139 Manapouri Street Maia Dunedin 9022"
"224",305841,"337 Ravensbourne Road Ravensbourne Dunedin 9022"
"225",305842,"335 Ravensbourne Road Maia Dunedin 9022"
"226",305843,"PO Box 5704 Moray Place Dunedin 9058"
"227",305844,"5 Northcroft Street Hoon Hay Christchurch 8025"
"228",305845,"8 Rotoiti Street Maia Dunedin 9022"
"229",305846,"28 Bay View Road Dunedin 9012"
"230",305847,"2 Jessie Street Ravensbourne Dunedin 9022"
"231",305848,"2 Rotoiti Street Maia Dunedin 9022"
"232",305849,"14 Rotoiti Street Maia Dunedin 9022"
"233",305850,"17 Rotoiti Street Maia Dunedin 9022"
"234",305852,"6 Jessie Street Ravensbourne Dunedin 9022"
"235",305854,NA
"236",305855,"1 Jessie Street Ravensbourne Dunedin 9022"
"237",305856,"3 Jessie Street Ravensbourne Dunedin 9022"
"238",305857,"Nicholls Bates Family Trust 3A Jessie Street Ravensbourne Dunedin 9022"
"239",305858,"315 Ravensbourne Road Ravensbourne Dunedin 9022"
"240",305859,"4 De Lacy Street Maia Dunedin 9022"
"241",305860,"PO Box 251498 Pakuranga Auckland 2140"
"242",305861,"8 De Lacy Street Maia Dunedin 9022"
"243",305862,NA
"244",305863,"12 De Lacy Street Maia Dunedin 9022"
"245",305864,"14 De Lacy Street Maia Dunedin 9022"
"246",305865,"16 De Lacy Street Maia Dunedin 9022"
"247",305866,"18 De Lacy Street Maia Dunedin 9022"
"248",305867,NA
"249",305868,"22 De Lacy Street Maia Dunedin 9022"
"250",305869,"2A Hyslop Street Abbotsford Dunedin 9018"
"251",305870,"100 Manapouri Street Maia Dunedin 9022"
"252",305872,"108 Manapouri Street Maia Dunedin 9022"
"253",305873,"25 Rotoiti Street Maia Dunedin 9022"
"254",305874,"12 Jessie Street Ravensbourne Dunedin 9022"
"255",305875,"23 Rotoiti Street Maia Dunedin 9022"
"256",305876,"PO Box 1579 Aitkenvale QLD 4814 AUSTRALIA"
"257",305877,"8 Jessie Street Ravensbourne Dunedin 9022"
"258",305878,"110 Manapouri Street Maia Dunedin 9022"
"259",305879,"10 Jessie Street Ravensbourne Dunedin 9022"
"260",305880,"28 Rotoiti Street Maia Dunedin 9022"
"261",305881,"110A Manapouri Street Maia Dunedin 9022"
"262",305882,"C/O M Stuart PO Box 1655 Dunedin 9054"
"263",305883,"114 Manapouri Street Maia Dunedin 9022"
"264",305884,"Blanchard Family Trust 118 Manapouri Street Maia Dunedin 9022"
"265",305885,"122 Balmacewen Road Dunedin 9010"
"266",305886,"PO Box 91765 Victoria Street West Auckland 1142"
"267",305887,"22 Rotoiti Street Maia Dunedin 9022"
