"7601",313602,"153 Highgate Dunedin","159 Highgate Dunedin 9010"
"7602",313603,"157 Highgate Dunedin","159 Highgate Dunedin 9010"
"7603",313604,"159 Highgate Dunedin","159 Highgate Dunedin 9010"
"7604",313605,"163 Highgate Dunedin","163 Highgate Dunedin 9010"
"7605",313606,"201 Highgate Dunedin","201 Highgate Dunedin 9010"
"7606",313607,"203 Highgate Dunedin","W McArthur and R Leyden Family Trusts 203 Highgate Dunedin 9010"
"7607",313608,"207 Highgate Dunedin","207 Highgate Dunedin 9010"
"7608",313609,"211 Highgate Dunedin","211 Highgate Dunedin 9010"
"7609",313610,"215 Highgate Dunedin","215 Highgate Dunedin 9010"
"7610",313611,"225 Highgate Dunedin","110A Jeffs Road Flat Bush Auckland 2016"
"7611",313612,"227 Highgate Dunedin","26 Waihopai Street Rosedale Invercargill 9810"
"7612",313614,"233 Highgate Dunedin","233 Highgate Dunedin 9010"
"7613",313615,"237 Highgate Dunedin","237 Highgate Dunedin 9010"
"7614",313616,"243 Highgate Dunedin","C/O Mairi Macleod Kerrandeneg Gouezec 29190 FRANCE"
"7615",313617,"245 Highgate Dunedin","245 Highgate Dunedin 9010"
"7616",313618,"249 Highgate Dunedin","249 Highgate Dunedin 9010"
"7617",313620,"253 Highgate Dunedin","253 Highgate Dunedin 9010"
"7618",313621,"255 Highgate Dunedin","PO Box 12 Botany NSW 1455 AUSTRALIA"
"7619",313622,"23 Hereford Street Dunedin","PO Box 5995 Moray Place Dunedin 9058"
"7620",313623,"27 Hereford Street Dunedin","B J Cleary Family Trust 27 Hereford Street Dunedin 9010"
"7621",313624,"31 Hereford Street Dunedin","31 Hereford Street Dunedin 9010"
"7622",313625,"33 Hereford Street Dunedin","33 Hereford Street Dunedin 9010"
"7623",313626,"23 Oates Street Dunedin","35 Greenock Street Dunedin 9010"
"7624",313627,"25 Oates Street Dunedin","7 Pavilion Crescent Hillmorton Christchurch 8024"
"7625",313628,"27 Oates Street Dunedin","27 Oates Street Dunedin 9010"
